,index,0,1,2,3,4,5
0,1,0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
1,11,0,1468192521,Tue Apr 07 00:13:02 PDT 2009,NO_QUERY,catherinestack,@laurenlenewx awww i'm sorry 
2,21,0,1468543053,Tue Apr 07 02:18:49 PDT 2009,NO_QUERY,alunjohn,"@Claire_S Will you be videoing or streaming or podcasting, Tweeting or anything else? Can't make it unfortunately. "
3,31,0,1468913518,Tue Apr 07 04:22:39 PDT 2009,NO_QUERY,Roonaldo107,@Tracy_R Evil!! I have a prawn salad 
4,41,0,1469414844,Tue Apr 07 06:18:34 PDT 2009,NO_QUERY,skoop,I still dearly miss the symfony dev environment when working with zend framework 
5,51,0,1470036251,Tue Apr 07 08:09:22 PDT 2009,NO_QUERY,lindsaycb,@enoch111 Whoops. I got a little too happy. Doesn't work. Takes me to Cisco's page.  Shoot.
6,61,0,1548807322,Fri Apr 17 22:01:46 PDT 2009,NO_QUERY,tectizzle,@brittneygreen you were sleepy though! 
7,71,0,1551241679,Sat Apr 18 08:31:37 PDT 2009,NO_QUERY,stuartneil,"@recurrence give em a present from me, i have had to replant three seedlings "
8,81,0,1551972352,Sat Apr 18 10:27:09 PDT 2009,NO_QUERY,percycarey,I'm in class right now 
9,91,0,1553675991,Sat Apr 18 14:54:43 PDT 2009,NO_QUERY,debussie,"@suiteheart I hear you, friend "
10,101,0,1555731598,Sat Apr 18 20:32:06 PDT 2009,NO_QUERY,jacqqq_xo,@stephhie101 i know !  i'm soo sad 
11,111,0,1556337028,Sat Apr 18 22:27:20 PDT 2009,NO_QUERY,paulinasb,"in the house of maca , please honey call me "
12,121,0,1556794545,Sun Apr 19 00:22:43 PDT 2009,NO_QUERY,sweet_sunrise,missing my boo 
13,131,0,1557149213,Sun Apr 19 02:17:48 PDT 2009,NO_QUERY,myryanh,@marginatasnaily unfortunatly I'm workin 
14,141,0,1557480351,Sun Apr 19 04:22:15 PDT 2009,NO_QUERY,WebbyJ,"doesn't want India to go back to her dads tomorrow, im going to miss her so much.. "
15,151,0,1557874333,Sun Apr 19 06:23:05 PDT 2009,NO_QUERY,MelissaBaculy,"i think elenor is sick or incapable of swimming properly,she is lying in the bottom of her tank, petco "
16,161,0,1558398201,Sun Apr 19 08:15:04 PDT 2009,NO_QUERY,lhansengeorge,Just got back from a walk in the park with Hadley. Had to cut the trip short due to a poopy diaper. 
17,171,0,1559095605,Sun Apr 19 10:14:47 PDT 2009,NO_QUERY,caseyyyb,@devss haha decisions decisions!!! ...what happened to the pretty weather? 
18,181,0,1559832725,Sun Apr 19 12:09:44 PDT 2009,NO_QUERY,farrahad,Trying to finished this portfolio but alive program won't freakin show... 
19,191,0,1563755481,Mon Apr 20 00:07:27 PDT 2009,NO_QUERY,Dimera666,"@Melisa_Swenson whatevz, I was totally sitting by the phone waiting for u to call  haha jk"
20,201,0,1564147744,Mon Apr 20 02:01:05 PDT 2009,NO_QUERY,IBA_Karachi,the farewell party for the graduating class of 2009 has been postponed 
21,211,0,1564554941,Mon Apr 20 04:01:24 PDT 2009,NO_QUERY,punctuation,There's a really annoying bird nested in a tree near my office window and it's making a noise like a evil dentist's drill 
22,221,0,1565103080,Mon Apr 20 05:54:26 PDT 2009,NO_QUERY,iFollowMike,Morning Tweets...is it still the weekend??? ....Oh its monday  
23,231,0,1565904220,Mon Apr 20 07:48:22 PDT 2009,NO_QUERY,johnsgunn,I want this for my cats! Too bad shipping is so expensive  http://tinyurl.com/dn8s7e
24,241,0,1573265758,Tue Apr 21 00:24:08 PDT 2009,NO_QUERY,hiddenglitter,Trying out UberTwitter... We'll see how this app goes. Hopefully doesn't freeze all the time like TwitterBerry!  http://myloc.me/6nM
25,251,0,1573672565,Tue Apr 21 02:17:34 PDT 2009,NO_QUERY,GJRM,@scottcabal I'm working in the the evening  but could do daytime for sure. COFFEEEEEE
26,261,0,1574108228,Tue Apr 21 04:16:44 PDT 2009,NO_QUERY,cartoonmoney,"@CJBerri Oh gods, Battletoads. Played it.. twice? I still have nightmares sometimes..  (xD)"
27,271,0,1676426089,Fri May 01 22:00:40 PDT 2009,NO_QUERY,goefer,And my laptop still has no internet. 
28,281,0,1676970513,Fri May 01 23:55:24 PDT 2009,NO_QUERY,stephiodos,Me being sick = sucky because i cannot sleep! 
29,291,0,1677397266,Sat May 02 01:52:04 PDT 2009,NO_QUERY,jenPK,Oh my baby. I hate when my angels are sick  
30,301,0,1677764044,Sat May 02 03:51:36 PDT 2009,NO_QUERY,daniellelod,Ugh this guy stinks of cigarettes my throat is actually burning :S 
31,311,0,1678195679,Sat May 02 05:52:33 PDT 2009,NO_QUERY,sexiisamii22,"just got up,, now chillinggg i guesss,, theres nothin to doo "
32,321,0,1678843305,Sat May 02 07:52:20 PDT 2009,NO_QUERY,okneil,@easyspace 1GB Ram is not available as an addon if you already have a vps with you guys. 
33,331,0,1679900073,Sat May 02 10:26:29 PDT 2009,NO_QUERY,tsp_2177,Lol i'll try it's still in the box  we got it in trussville lol it's a gaming computer  TSP&lt;3'sEET
34,341,0,1681066666,Sat May 02 13:08:17 PDT 2009,NO_QUERY,paula721,@daintyd  I can't see them!
35,351,0,1685262053,Sat May 02 23:40:01 PDT 2009,NO_QUERY,shutterpunk,i know i should be happy about the five that did get in but the one that didn't was one of my favourites of the collection 
36,361,0,1685700793,Sun May 03 01:38:03 PDT 2009,NO_QUERY,bashi_bazouk,"Feeling ronery, eating mrs. munchies, working on stuff, and in love always with craig tucker. I miss Shaba Wakie. "
37,371,0,1686080768,Sun May 03 03:39:20 PDT 2009,NO_QUERY,Sophhs,"@dogned ahh, i hope they win - like really bad  they deserve it!  i haven't even heard of those other shows :p aha, xD"
38,381,0,1686509643,Sun May 03 05:44:01 PDT 2009,NO_QUERY,MissPear,"@MissOceania What is this thing called &quot;working on a Sunday&quot;?(Having said which, in my case, what is this thing called &quot;working&quot;?  *sigh*)"
39,391,0,1687089580,Sun May 03 07:44:04 PDT 2009,NO_QUERY,kezzawezz,@chuckidoodlez But that's the boring thing to do 
40,401,0,1687866530,Sun May 03 09:47:01 PDT 2009,NO_QUERY,theboy2722,Getting ready to Clean 
41,411,0,1691082237,Sun May 03 17:03:10 PDT 2009,NO_QUERY,Mochacoca,I am tired! Going to bed early today. I hate mondays 
42,421,0,1692211459,Sun May 03 19:30:42 PDT 2009,NO_QUERY,mynamesjane,@jackalltelow well you guys are the all time low of all time lows. jk that was mean 
43,431,0,1693016888,Sun May 03 21:20:46 PDT 2009,NO_QUERY,denasaurusrex,@crayon2 It wreally hurts 
44,441,0,1693647691,Sun May 03 23:15:41 PDT 2009,NO_QUERY,madeofmilk,@madeofhoney  why does ur chest hurt. ur boobies! yes i miss you so much! i wish i could lay down with you all night!
45,451,0,1694110043,Mon May 04 01:07:45 PDT 2009,NO_QUERY,UltimateKammi,at work... a little bit tired... my head hurts a bit.... and i  miss my girlfriend   thinking about having a poo ;)
46,461,0,1694566424,Mon May 04 03:12:11 PDT 2009,NO_QUERY,takkie13,@iPOPadmarket  What about a Cape Town list ?  
47,471,0,1695081171,Mon May 04 05:08:30 PDT 2009,NO_QUERY,MelBonner,@donnashy45 yes I guess you are right.... shame though 
48,481,0,1695844033,Mon May 04 07:04:13 PDT 2009,NO_QUERY,Elliejay16,just been to an all u can eat chineese buffet! feeling fat.. 
49,491,0,1751348485,Sat May 09 19:14:26 PDT 2009,NO_QUERY,Misstify450,Missing my truck.  
50,501,0,1752114289,Sat May 09 21:05:02 PDT 2009,NO_QUERY,andywinter78,"Cannot actually keep my eyes open.., I feel like shit "
51,511,0,1752769986,Sat May 09 22:55:57 PDT 2009,NO_QUERY,BrownEyedGal27,@ddlovato i missed demi's tweets more  haha x) jk..... i miss my mom 
52,521,0,1753278311,Sun May 10 00:53:07 PDT 2009,NO_QUERY,kasey79,"OMG, I am here FINALLY!!! I was out and having fun tonight, forgive my absence  Let's get this!!"
53,531,0,1753686812,Sun May 10 02:54:46 PDT 2009,NO_QUERY,dineth,i didnt do anything over the weekend....y!!!!   
54,541,0,1754107393,Sun May 10 05:00:26 PDT 2009,NO_QUERY,Karen230683,@snedwan crap so annoyed over hour and half my best is hour 16  told by physio yest not to do it so least I finished
55,551,0,1754683702,Sun May 10 07:04:05 PDT 2009,NO_QUERY,minastackx,@MelissaWOOF that sucks 
56,561,0,1755402325,Sun May 10 09:02:55 PDT 2009,NO_QUERY,louise_hendy,@swissfairy but i don't wanna!  gavin and stacey &gt; ict revision haha
57,571,0,1759384762,Sun May 10 19:05:45 PDT 2009,NO_QUERY,colleenhahaha,my computer is overheating 
58,581,0,1760209041,Sun May 10 20:56:08 PDT 2009,NO_QUERY,pannduh,is really craving an ELF haul. 
59,591,0,1771052132,Mon May 11 23:02:38 PDT 2009,NO_QUERY,davetidey,#twitterpornnames Mine: Tiki The Mount  [name of first pet and name of the street where I grew up] I kid you not... @feliciaday
60,601,0,1792426631,Wed May 13 23:06:08 PDT 2009,NO_QUERY,blupanda3,lost my necklace  crappy...
61,611,0,1793025555,Thu May 14 01:05:26 PDT 2009,NO_QUERY,gigeegabre,...mini notebook down! back to my old heavy laptop! 
62,621,0,1793547035,Thu May 14 03:06:34 PDT 2009,NO_QUERY,secretXeyes,after walking to the bus stop and then to college has made me feel very ill again  and ive got 5 hours of college to survive
63,631,0,1794154121,Thu May 14 05:06:09 PDT 2009,NO_QUERY,jo_rosie,@shortlisted: I wish. Im feeling so ill I don't even recon Ill be able to go at this rate  It's horrible...
64,641,0,1794986881,Thu May 14 06:56:47 PDT 2009,NO_QUERY,AsymptoticGiant,"Let loose an Epic scream. Damn it felt good, although the throat is rather scratchy. STOP USING ME AS A PROBLEM DUMP, PEOPLE "
65,651,0,1796900773,Thu May 14 10:13:35 PDT 2009,NO_QUERY,shimamizu,A part of my big toe's toenail broke off sometime yesterday morning  I hope it's not too raw/exposed still on Saturday during my test!
66,661,0,1823117657,Sat May 16 21:09:27 PDT 2009,NO_QUERY,oleblue22,Watching me some saturday night live after today i gotta record it cause i gotta be at work at 5 sundays 
67,671,0,1823843628,Sat May 16 23:09:58 PDT 2009,NO_QUERY,Kbabay12,Ahhh pop concert is over! Now chillin with friends...but I feel left out! 
68,681,0,1824383110,Sun May 17 01:08:47 PDT 2009,NO_QUERY,a_redblush,"@jardinjaponais DD I really want to show it, but we'll have to wait two more weeks "
69,691,0,1824839139,Sun May 17 03:10:00 PDT 2009,NO_QUERY,Spidersamm,"@staaceeyy awh i know, i listened on the radio HAHAH  disspointing."
70,701,0,1825304917,Sun May 17 05:11:45 PDT 2009,NO_QUERY,rachborntorun,"@paranoid_ I meant kiss kiss duh, predictive text on this  and oO. Doing anything today?"
71,711,0,1825883228,Sun May 17 07:07:07 PDT 2009,NO_QUERY,jellyy_x,Good Morning Twitter ! I'm Starvinq  I So Need Comida !
72,721,0,1827018361,Sun May 17 09:49:01 PDT 2009,NO_QUERY,VANUNU,Procrasination is truly a sin ... I REALLY need to learn chinese  @Cskt DITCHER
73,731,0,1827518489,Sun May 17 10:52:53 PDT 2009,NO_QUERY,markjcundiff,"Kinda of enjoying rained out yard work this wkend, but payday will be rough next wkend when this grass grows all week "
74,741,0,1827825466,Sun May 17 11:31:32 PDT 2009,NO_QUERY,nollywoodstar,Okay kid you got one more time to knock down my starbucks cup and we gonna arm wrestle  I don't care if you are only 4
75,751,0,1832556345,Sun May 17 21:00:35 PDT 2009,NO_QUERY,LBC_Shopper,@petalsntwigs yeah we are ok...it was a rumbling quake so you feel it &amp; hear it. No matter how many I've been still gets me nervous 
76,761,0,1833547303,Sun May 17 23:38:28 PDT 2009,NO_QUERY,JessicaChivers,"I assume there was an earthquake somewhere, according to everyone's tweets. I'm Canadian. I wasn't informed earlier. "
77,771,0,1833862514,Mon May 18 00:43:34 PDT 2009,NO_QUERY,shawnee_dj,Lying on the sofa this is gna make me stress more why do i stress so much sick 3times now Wahey. I fucking hate being ill 
78,781,0,1834186893,Mon May 18 01:58:02 PDT 2009,NO_QUERY,sprinkles_,@MadamSalami i cant find one though 
79,791,0,1834512737,Mon May 18 03:13:09 PDT 2009,NO_QUERY,missamea,"it is 5:04 am, in Marshalltown Iowa... school is in 2 1/2 hours FUN!!..not, I wish it were summerrr "
80,801,0,1834830329,Mon May 18 04:20:22 PDT 2009,NO_QUERY,peachpanther23,"Kinda dreading school, cuz i have to be mean today. "
81,811,0,1835137349,Mon May 18 05:14:28 PDT 2009,NO_QUERY,Popcorn_Nut,My shoulder is causing me pain 
82,821,0,1835477667,Mon May 18 06:04:56 PDT 2009,NO_QUERY,chixor,@showmyface  count me in for the mondays 
83,831,0,1835843555,Mon May 18 06:52:00 PDT 2009,NO_QUERY,mohernan,Summer classes starting in ten minutes....3 hours a day...one classroom  pray for my attention span!
84,841,0,1836242104,Mon May 18 07:38:36 PDT 2009,NO_QUERY,pjs7897,played W101 real late last night/ seen 1st real bad xp of fighting in game. WOW!/ ended up with new friend @ end of night / Working now 
85,851,0,1880008238,Thu May 21 23:48:50 PDT 2009,NO_QUERY,wowlew,isPlayer Has Died! Sorry 
86,861,0,1880366473,Fri May 22 00:59:32 PDT 2009,NO_QUERY,andyheadworth,@helenreynolds Never   Especially the last bank holiday - they were miles off !! We can only hope can't we?
87,871,0,1880749395,Fri May 22 02:21:50 PDT 2009,NO_QUERY,beadevile,Is hugely annoyed a a stupid direct debit taking me overdrawn - multiple bank charges on the horizon.... 
88,881,0,1881116507,Fri May 22 03:39:24 PDT 2009,NO_QUERY,tgitc,I am getting an erection... ! Time for bed me thinks...  NIGHT ALL)
89,891,0,1881481335,Fri May 22 04:47:08 PDT 2009,NO_QUERY,SPYSG,Su yin Huen tweeted I KEEP cutting mah self! *tear* index right; im so sorry  http://tinyurl.com/ohltl8
90,901,0,1881863711,Fri May 22 05:44:03 PDT 2009,NO_QUERY,maverickeugene,Waking up early sucks  Just finished an 11miler on 3 hours of sleep and tired legs. Last night was fun and def worth losing rest over! &lt;3
91,911,0,1882259166,Fri May 22 06:32:28 PDT 2009,NO_QUERY,heidischang,@RLee917 LOLLLL i never got thattt  what was your dream about?
92,921,0,1882697299,Fri May 22 07:19:50 PDT 2009,NO_QUERY,alyallred,damn you twitter.  post my new picture!  it's not too big  
93,931,0,1883240010,Fri May 22 08:14:01 PDT 2009,NO_QUERY,lindsayyyhope, my chorus teacher gave the Children of Eden solo to ALL the senior girls... WTF. It's not a solo now! Stuck with the spiritual :/
94,941,0,1932266571,Tue May 26 21:08:10 PDT 2009,NO_QUERY,Janki_Patel,"Run down : had a wonderful day, shopped, @BadBoyHenRoc was nice nd found my twin @212HARLEMG ...but the cavs lost "
95,951,0,1932642963,Tue May 26 21:53:51 PDT 2009,NO_QUERY,Outinthedark,Changed the oil in my bike today. Shifting like butta! Long exhausting day and I just realized @abeautifuletdwn called me an hour ago 
96,961,0,1932994074,Tue May 26 22:43:20 PDT 2009,NO_QUERY,ohnoitshector,OK Ok so all the trophies in hockey = BADASS. They all look like they cost a zillion dollars. I want one 
97,971,0,1955783998,Thu May 28 20:37:07 PDT 2009,NO_QUERY,DemiCO90,Another early start for me 
