,0,1,2,3,4,5
0,0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
160,0,1467853356,Mon Apr 06 22:30:54 PDT 2009,NO_QUERY,dbmendel,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too 
320,0,1467894600,Mon Apr 06 22:41:51 PDT 2009,NO_QUERY,dreaaa,throat is closing up and i had some string cheese. not a good idea 
480,0,1467932208,Mon Apr 06 22:52:25 PDT 2009,NO_QUERY,rachelgab,"If he doesn't get better in a few days, he could have something lodged in his belly "
640,0,1467972262,Mon Apr 06 23:03:39 PDT 2009,NO_QUERY,Smith_Cameron,@hillary006 I'm sure everyone has ruined my gift to you  Whitney has my serious Cell #...We doing easter as well?
800,0,1468007877,Mon Apr 06 23:13:57 PDT 2009,NO_QUERY,John2x,my little pinky finger hurts so much.. 
960,0,1468047066,Mon Apr 06 23:26:06 PDT 2009,NO_QUERY,dianapwns,@alexbigman you left without saying hi! 
1120,0,1468085048,Mon Apr 06 23:37:52 PDT 2009,NO_QUERY,policano,@hutsoncap  everything alright?
1280,0,1468121466,Mon Apr 06 23:49:56 PDT 2009,NO_QUERY,tominlumban,"Yo jimo i cant talk on aim anymore, its glitching  ill cya later and i hope u see this"
1440,0,1468155926,Tue Apr 07 00:01:16 PDT 2009,NO_QUERY,Jordyss,Didn't make it by here today.   They are saying we will have snow tomorrow. WTF?  It is Tennessee.  It doesn't even snow here in winter.
1600,0,1468192521,Tue Apr 07 00:13:02 PDT 2009,NO_QUERY,catherinestack,@laurenlenewx awww i'm sorry 
1760,0,1468226377,Tue Apr 07 00:24:32 PDT 2009,NO_QUERY,KristenCB,Goodnight everyone. Well I'm not feeling much better and I'm going to the doctor tomorrow.  
1920,0,1468262100,Tue Apr 07 00:36:46 PDT 2009,NO_QUERY,Fatty_D,@KellyShibari i thought i saw you there! you were walking out the door when i saw you. 
2080,0,1468298918,Tue Apr 07 00:49:44 PDT 2009,NO_QUERY,xdokkenx,@mileycyrus I would too if it meant spending a day in heaven w/my mom and getting to see her again. 
2240,0,1468336500,Tue Apr 07 01:03:03 PDT 2009,NO_QUERY,bethasaurr,The one day i really need to go into school and i'm not well 
