,Emoji,Unicode codepoint,Unicode name
0,😍,0x1f60d,SMILING FACE WITH HEART-SHAPED EYES
1,😭,0x1f62d,LOUDLY CRYING FACE
2,😘,0x1f618,FACE THROWING A KISS
3,😊,0x1f60a,SMILING FACE WITH SMILING EYES
4,😁,0x1f601,GRINNING FACE WITH SMILING EYES
5,😉,0x1f609,WINKING FACE
6,😄,0x1f604,SMILING FACE WITH OPEN MOUTH AND SMILING EYES
7,😒,0x1f612,UNAMUSED FACE
8,😔,0x1f614,PENSIVE FACE
9,😢,0x1f622,CRYING FACE
10,😆,0x1f606,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
11,😀,0x1f600,GRINNING FACE
12,😐,0x1f610,NEUTRAL FACE
13,😛,0x1f61b,FACE WITH STUCK-OUT TONGUE
14,😲,0x1f632,ASTONISHED FACE
15,😧,0x1f627,ANGUISHED FACE
