,sentiment,post
0,0,One year ago today 😧 .1
1,1,keep smiling happy.1
2,0,It's hard to imagine anyone but Robin 😧 but still exciting nonetheless
3,1,Good luck to Rich riding for great project in this Sunday. Can you donate?
4,1,He didn't play for a year
5,1,.NOTHING CHANGED BUT THE DATE .. APRIL 28 MAKE S
6,0,they would have sustained their fame if they did 😧
7,1,Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE happy.1
8,1,Seokjinie went to Everland today~ I guess he forgot that he's an idol.1
9,0,BES RIP
10,1,Good evening 😊
11,0,you got to rest
12,0,WHY ARE YOU WHIMPER AT ME?
13,1,Okay
14,0,all ready for its poster - when my computer gets
15,0,Golly gosh. This is simply dreadful What havoc must be wreaking subsurface? Black salve won't
16,1,Thanks for the recent follow Happy to connect 😊 have a great Thursday..17
17,0,talking to my over driver about where I'm goinghe said he'd 😍 to go to New York too but since Trump it's probably not.6
18,0,there are some rumors going around and videos of his performances on youtube have already been deleted..
19,1,Pls RT[NCT FIC] Love Song
20,0,WTF Canada 2017 and you are still in the 1700s. I Will Never support
21,0,[PLEASE RT] he'll buy me a blinking taehyung headband
22,1,Seokjinie went to Everland today~ I guess he forgot that he's an idol
23,0,24-20 😧
24,0,sounds family
25,1,We don%27t spam him in any way
26,0,Don kray denial of normal bi say
27,0,All of the park areas in Paris are marked as green on Google maps
28,0,we can get pork katsudon at Tokyo Diner! Tho it doesn't have egg in it 😧
29,0,Well thanks for stoping by 😧
30,1,What a 😔 life it must be
31,0,i want harry's phonecase 😔
32,1,Did you notice? There is no killings of RSS / BJP workers in another Southern State? CM is dismantling Xtian infra in Munnar?
33,1,IF THE BELOW TWEET HITS 1000 IS GETTING RIAN HOLDING THE STICKER TOO!!! Click the below tweet SM
34,0,instant message still hoping 😧 .1
35,1,Good morning every one.3
36,0,Hope he's ok
37,0,I seriously thought that Coldplay was going to be band like Depeche Mode or U2
38,1,there're time shinhwa do/did something
39,1,That would be a great trick happy.3
40,0,resolve is sooo slow on my laptop
41,0,Who's that chair you're sitting in? Is this how I find out. Everyone knows now. You've shamed me in pu
42,0,Yeah! My sight reading was pretty good in high school
43,0,Damn you both
44,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.3
45,1,for trade ? 😊 what yeah want ?
46,0,Andy 😧
47,1,Never give up on the things that make you 😭 😊
48,1,Alaye give me iphone7 or dollars for my birthdayDo normal abeg
49,0,I'm very jealous of you all 😧 Please go see 18:40 - Green Room on Sat!
50,0,I miss my baby 😧 .1
51,0,I face swapped a cat with a dog and it's really upsetting 😧 .4
52,1,Love you too P!
53,0,😔 I don't
54,0,i think that's going to be true
55,0,I feel like the 'only environments disable people' argument actually excludes many disabled people
56,1,Unnamed: 582
57,1,Play your part in raising funds for :
58,0,fuck get me followers 😧 my ratio is amazing
59,0,Is that store still in use? If so
60,0,Why am I better at pen then pencil?dafaqcomonI just want to be a good drawer 😧
61,0,Hi Aled
62,1,Thanks for the recent follow Happy to connect 😊 have a great Thursday..19
