,sentiment,post
0,1,An inspiration in all aspects: Fashion
1,1,fitness
2,1,beauty and personality. 😊 😘 TheFashionIcon
3,1,Apka Apna Awam Ka Channel Frankline Tv Aam Admi Production Please Visit Or Likes Share 😊 Fb Page :...
4,1,Beautiful album from the greatest unsung guitar genius of our time - and I've met the great backstage
5,1,Good luck to Rich riding for great project in this Sunday. Can you donate?
6,1,Omg he... kissed... him 😆 with joy
7,1,😊 anniv ming and papi!!!!! 😍 😍 😊
8,1,thanks 😊
9,1,C'mon Tweeps
10,1,Join vote for the singer! Do spread the word. 😄
11,1,Thanks for the great review! 😭
12,1,Yay another art raffle! Everything you need to know is in the picture 😄
13,1,Hello I hope you visit Luxor its amazing city in Egypt pleas check
14,1,We got a Vive tracker in the office and our intern
15,1,went to work.Don't get too excited
16,1,this isn't
17,1,Take a look at favourites.io You can do this and more 😊
18,1,Go back to school for music! I think I will in time 😊
19,1,Sixth spot not applicable Team! Higher pa! 😊 😘 TheFashionIcon
20,1,thanks for being top influencers in my community last week 😊
21,1,Share the love: thanks for being top new followers this week 😊 Want this?
22,1,retweet this tweet if you want your to be included in the nhc scrapbook!! i'll be making something out of all of the usern
23,1,Happy 420 😊 pass it to your followers!
24,1,Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE 😊
25,1,Great to work with you too such a lovely place! Thank you for havin
26,1,Nothing is ever as it seems. What looks bad today
27,1,will be a blessing tomorrow 😊 Keep your faith stirred up each day!
28,1,Mmmmmmmm 😍 naughty wives 😭
29,1,You deserve a vacation 😊
30,1,Never known how hard it is until last to days how to resist temptation to enter politics debates on social media 😊 stood firm so far
31,1,Some summer salad inspiration for the BBQ 😭
32,1,Hey thanks for being top new followers this week! Much appreciated 😊 Want this ?
33,1,you should post this offer on this website 😊
34,1,thanks for being top new followers - have a great week 😊
35,1,I prefer it to sharm - enjoy it 😊 Gouna 20km away is also quite nice - honestly anywhere away from crazy cairo is
36,1,Sixth spot not applicable Team! Higher pa! 😊 😘 TheFashionIcon.1
37,1,Hey thanks for being top new followers this week! Much appreciated 😊
38,1,thanks for the recent follow. Much appreciated 😊
39,1,Thanks Lala.. Much needed 😊
40,1,Thanks for connecting We are passionate about - hope you like our tweets 😊
41,1,hey
42,1,keep smiling 😊
43,1,Said it yesterday... 😊
44,1,We 😍 that our bloggers 😍 us so much 😊 Thank you for such an amazing review The Perfect Glasses h
45,1,only way to make sense of those crazy edge cases is the idea of sharing revenue was offensive
46,1,rather
47,1,Gentle reminder on our TP guidelines 😊 please read and spread. Thank you. 😊 😘 TheFashionIcon
48,1,keep being you
49,1,cheeky 😄
50,1,😭 So true. For someone who was being recognised for her contribution to fashion
51,1,she might have dressed a bit better.
52,1,sounds like a lot of fun 😄 I like it
53,1,Oh
54,1,Jin was spotted at Everland today. Nice to see them having a break after the US tour 😊
55,1,There was nothing religious in it. is calling out sexism. I don't think I need to spell out my stand
56,1,Go back to school for music! I think I will in time happy.1
57,1,Theres only one thing I want to change about you . Your Last Name 😊 ALDUBOnly
58,1,welcome brother 😊
59,1,Thanks for the recent follow Happy to connect 😊 have a great Thursday.
60,1,SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it
61,1,DM us 😊 S
62,1,Spending time with dogs or other animals is great at helping you to relax and de-stress. Great idea 😊
63,1,My new video for 😊 I hope you like ithappy
64,1,Got This interview poppin 😊 $$$$$
65,1,Love your tweetability! We'd like to reach out to with an opportunity! Could you hit us with your email 😊
66,1,Thanks for the recent follow Happy to connect 😊 have a great Thursday..1
67,1,uss
68,1,I'll DM you half naked pictures 😊
69,1,Evet 😊
70,1,Well
71,1,I hope it doesn't last too long and you at least get to enjoy the weekend. And 😊 birthday again 😊
72,1,Excited about event next week in Bangalore! come 😊
73,1,Want to win a pet chick 😊 Simply follow retweet for your chance to win! Winners will be selected Sunday 23rd. Go
74,1,Top retweeters this week
75,1,Thank you 😊
76,1,dope!! that's a cool word. finally down with the hip young millenial memers 😭
77,1,2nd Cousin Vlad !!!!! maybe thats a message from the Hockey G
78,1,Thanks for the recent follow Happy to connect 😊 have a great Thursday. (Want this?
79,1,Earlier 😊
80,1,Just win at weekend and it will be a late gift
81,1,ok? 😄
82,1,we finally got jinyoung to wipe it for jaebum himself but their precious son blocks it for the world to witness it
83,1,Here is question 18! Make sure to use in all your tweets replies 😊
84,1,And this credit also goes to Ik 😊
85,1,My other accounts:them both or get rekt! 😄
86,1,Hey thanks for being top new followers this week! Much appreciated happy.1
87,1,Les videre 😊
88,1,clauditte
89,1,my friend is such an egg
90,1,congratulations David! Well done Mrs V! Welcome Jessica! 😊
91,1,have you tried these new hacks?! **TRYING DUMB LIFE HACKS 17**
92,1,Keep tweeting team. Higher! Thank you for the efforts. 😊 😘 TheFashionIcon
93,1,here are some very 😊 boys to brighten up your day 😊
94,1,A huge thank you to all the within the Social Work Care Sectors! Keep up the great work 😊
95,1,Lunchtime with Flinthook! This game has so much personality 😄
96,1,Ministers of PMLN are 😊 like those students who never studied for exams luckily exams got delayed. They'll still ha
97,1,😄 When mom is a bit tired
98,1,What we did after the climax shot 😊
99,1,Miss Petite 😊 Thursday 😊 looking forward to the weekend?
100,1,rt quote with your name for a calligraphy of it 😊 i'll try my best to make it pretty!! non mutuals/mutuals (ifb) fl
101,1,mutual: let's talk more!me: for sure!mutual: 😊 me:
102,1,I got TH will add sim ant as a possible thanks 😊
103,1,If you want a friend in Washington
104,1,get a dog. 😄
105,1,Congrats Winner 😄 and it's Eyounji you did well my girl
106,1,Did you notice? There is no killings of RSS / BJP workers in another Southern State? CM is dismantling Xtian infra in Munnar?
107,1,Hi please rt my pinned post 😊
108,1,The video will definitely be a 30 minute episode if not longer.
109,1,I would 😍 to win these gorgeous nail polishes :D! Aren't they cute
110,1,Jae celebrating with Sheena Easton after the triumphant opening night of 42nd Street in the West End! 😊
111,1,Happy belated birthday 😊 Another duet of you and Amaal is much needed
112,1,Your titties are fantastic. Kissy Kissy
113,1,Pls RT[NCT FIC] Love Song
114,1,Goodevening 😊
115,1,Ministers of PMLN are 😊 like those students who never studied for exams luckily exams got delayed. They'll still ha.1
116,1,Thanks for the retweets this week. Much appreciated 😊 Want this
117,1,=Thumbnail UHC= This is my best render ever :Dand Favs are appreciated brosOpinios ?
118,1,Thanks again for notifying us! We have updated our add-on plans accordingly 😊
119,1,Very cool! 😊 surrounds you for a full recovery.
120,1,A nice morning working from today. Lovely atmosphere
121,1,friendly service
122,1,wifi
123,1,comforting London fog.
124,1,I just did 😊
125,1,Have a great day everyone 😊
126,1,Kiera's Quest: Awakenings (Kiera's Quest Book 1)
127,1,Have you voted for The Wolf's Bite on Greenlight yet? 😊 help us get Wolfie Pigs on Steam!
128,1,Go back to school for music! I think I will in time happy.2
129,1,Here is a new thesis by another genius.Sir
130,1,we loved to have reply by you. 😄 Now get lost .
131,1,your birthday isn't for another for hours for me
132,1,but 😊 birthday hoe! have a good day
133,1,i 😍 you i guess 😊
134,1,Its hard to see your best friend with another girl 😊
135,1,The offer still going 😊
136,1,If you can't be there for someone at their worst then you don't deserve to be there at their best 😊 😘 TheFashionIcon
137,1,Demit the gocoh game is real 😆 with joy
138,1,Found use for the sewable LED holder 😊
139,1,Select from 14 award-winning Laura Taylor romance ebooks
140,1,So excited for the things coming in the future 😊 things are going great
141,1,you guys are entertaining and insightful... and one of the reasons i have been really enjoying LPL a lot more this season 😄
142,1,Thats how it sounds like at superbooth 😊
143,1,i want to learn the choreo but my ugly body says no 😆 with joy
144,1,Share the 😍 you're top engaged community members this week! Much Appreciated 😊
145,1,Hi Kylie
146,1,looking forward to you visiting! You've picked a great day too
147,1,the sun is shining 😊
148,1,Ok. Just please read the replies on this....
149,1,THIS RIGHT HERE.aren't you 😊 you don't have [x]???NO. BECAUSE I'M STILL HERE IN THIS 'CONDITION' WITH NO I
150,1,To all FLA members and officers who are going to Cebu tomorrow silence Godbless piss off mga ante and angkol! 😊
151,1,for every like ill post an answer 😭
152,1,Maybe not a band but we can definitely collab! Hi my name is Philip 😊
153,1,LEGO_Group: LegoThursdays JokerSquad_SWG LEGOLANDWindsor Sounds like you had lots of fun! 😊
154,1,a friend who would like a BRAND NEW Strapback hats only 14.99 at
155,1,yes you had 😭
156,1,mata_tytan: almightyTANNER: good evening everyone 😊 join our twitter party tonight. official tagline:TANN
157,1,First attempts of bird photography. :-) Passer domesticus. How surprising. 😉
158,1,People who don%27t know me always think I am quiet. People who do know me. wish I was 😊 😘 TheFashionIcon
159,1,Love you too P!
160,1,RT: good evening everyone 😊 join our twitter party tonight. official tagline:TANNER WelcomeBackPH TMI
161,1,oh yes 😊
162,1,Hey Robert Rolih thanks for the follow! What does coastal living mean to you? Reply with photo 😄
163,1,Have you ever been to AUSTRALIA! 😄 Love your vids. Lovo on youtube 😄
164,1,OPENING UP TO YOU LOT!RT LIKES WOULD BE LAAAAAVERLY 😄 .xxENJOY
165,1,In other words they never missed articles 😊
166,1,IF THE BELOW TWEET HITS 1000 IS GETTING RIAN HOLDING THE STICKER TOO!!! Click the below tweet SM
167,1,Bill Nye Answers Science Questions From Twitter | WIRED
168,1,How are you doing today? 😊
169,1,We're ready for our next fire lighting session at - we have a few keen early birds here already 😭
170,1,Go :*!!... I know you can do it..
171,1,If this gets 70rts I will giveaway 5 minecraft accounts and an origin account randomly to people who retw
172,1,Hi Mr. Yen! Will you be doing any signings in New York some day? Your a great role model 😊
173,1,it's just a cut during one of my kitchen experiments 😊
174,1,Wow i just made a JS compressor that actually checks scoped variables existing. Turns out i have a few issues 😊 Linters may be useful 😊
175,1,This week Marilyn pops by and get's down and dirty 😊 Cum see!
176,1,loool i'm mad avoid me today 😄
177,1,You're welcome Thomas 😊 Kim
178,1,Look at this 😊
179,1,He didn't play for a year
180,1,so I'm super impressed he's got his musical mojo back! Thank you so much 😊
181,1,Watch this MayWard Fam!
182,1,I was thinking the same. Our i know is so cute 😊
