,sentiment,post
0,0,"- Awww, that's a bummer. You shoulda got David Carr of Third Day to do it. ;D"
1,0,Picked Mich St to win it all from the get go. Was feeling pretty good about that pick all the way up until......tonight. A's lost too
2,0,throat is closing up and i had some string cheese. not a good idea
3,0,"If he doesn't get better in a few days, he could have something lodged in his belly"
4,0,I'm sure everyone has ruined my gift to you Whitney has my serious Cell doing easter as well?
5,0,my little pinky finger hurts so much..
6,0,you left without saying hi!
7,0,everything alright?
8,0,"Yo jimo i cant talk on aim anymore, its glitching ill cya later and i hope u see this"
9,0,Didn't make it by here today. They are saying we will have snow tomorrow. WTF? It is Tennessee. It doesn't even snow here in winter.
10,0,awww i'm sorry
11,0,Goodnight everyone. Well I'm not feeling much better and I'm going to the doctor tomorrow.
12,0,i thought i saw you there! you were walking out the door when i saw you.
13,0,I would too if it meant spending a day in heaven w/my mom and getting to see her again.
14,0,The one day i really need to go into school and i'm not well
15,0,"Stephen just left, i miss him sooo much...."
16,0,"I'm having a panic attack, so I can't sleep. Distracting myself with TV and internet. Hope this goes away soon"
17,0,"come back to orlando again sooon! i couldn't make it to the show, sadly"
18,0,Deadline ahead
19,0,why
20,0,"Will you be videoing or streaming or podcasting, Tweeting or anything else? Can't make it unfortunately."
21,0,"just been given ma marching orders, gotta go do some work, yay........."
22,0,Up since 3:00. Going to be a looooong day.
23,0,i need something big to happen
24,0,"Exactamundo!!! For some reason I think Foxx is knocked out, so IDK what's gonna happen, sorry"
25,0,"haha, I have snot power too......1 week and counting!"
26,0,Going deaf in my right ear. Too many feedback squalls at soundchecks. In with the earplugs
27,0,"Dunno who is there with you, but she's no Fern"
28,0,Going to school and enjoying my last day as a 16 year old but too
29,0,I hate the V plotarc on True Blood that poor chubby vampire guy getting staked was so sad
30,0,Evil!! I have a prawn salad
31,0,Spring time is over
32,0,wishes things were easier
33,0,I'm so bored But its sunny for once but i can tell its gonna rain
34,0,I feel like DEATH. My throat hurts.
35,0,"Ouch, I just bit my tongue as I sneezed. Blood tastes rough"
36,0,House completly surprised me last night. I can't believe I cried watching an episode of House. So sad.
37,0,I wish I had had to look that one up
